Song Title,Verse Start,Verse End,Spotify,YouTube
"1, 2, 3, 4",1:36,2:17,y,https://www.youtube.com/watch?v=KbUfVk9swyY
1 2 3 4,1:36,2:17,y,https://www.youtube.com/watch?v=KbUfVk9swyY
1234,1:36,2:17,y,https://www.youtube.com/watch?v=KbUfVk9swyY
20 Dollarz,1:52,2:15,y,https://www.youtube.com/watch?v=OqUrOy2ZpXQ
20 Dollars,1:52,2:15,y,https://www.youtube.com/watch?v=OqUrOy2ZpXQ
2012,1:16,1:46,y,https://www.youtube.com/watch?v=4uFalk1y38I
2012 (It Ain't the End),1:16,1:46,y,https://www.youtube.com/watch?v=4uFalk1y38I
5 Star Bitch,2:11,2:50,y,https://www.youtube.com/watch?v=MFfcmBP1ZEE
5 Star Bitch (Remix),2:11,2:50,y,https://www.youtube.com/watch?v=MFfcmBP1ZEE
5 Star Bitch Remix,2:11,2:50,y,https://www.youtube.com/watch?v=MFfcmBP1ZEE
All I Do Is Win,2:40,3:06,y,https://www.youtube.com/watch?v=eh8mRjO1nhg
All I Do Is Win (Remix),2:40,3:06,y,https://www.youtube.com/watch?v=eh8mRjO1nhg
All I Do Is Win Remix,2:40,3:06,y,https://www.youtube.com/watch?v=eh8mRjO1nhg
Animales,1:24,1:45,y,https://www.youtube.com/watch?v=5sPnEFaNhfQ
Bang Bang,1:44,2:17,y,https://www.youtube.com/watch?v=YswhUHH6Ufc
Beauty and a Beat,2:29,2:54,y,https://www.youtube.com/watch?v=Lf9OgcXV5cE
Bed Rock,1:31,1:58,y,https://www.youtube.com/watch?v=Ha80ZaecGkQ
BedRock,1:31,1:58,y,https://www.youtube.com/watch?v=Ha80ZaecGkQ
Bitch Im Madonna,2:27,2:54,y,https://www.youtube.com/watch?v=VPYNhNqpWy0
Bitch I'm Madonna,2:27,2:54,y,https://www.youtube.com/watch?v=VPYNhNqpWy0
Born Stunna,0:56,1:38,y,https://www.youtube.com/watch?v=qv-uqVJkFgA
Born Stunna Remix,0:56,1:38,y,https://www.youtube.com/watch?v=qv-uqVJkFgA
Born Stunna (Remix),0:56,1:38,y,https://www.youtube.com/watch?v=qv-uqVJkFgA
Bottoms Up,2:25,3:18,y,https://www.youtube.com/watch?v=ZwElAIGJths
Clappers,3:33,3:55,y,https://www.youtube.com/watch?v=6OQlO_kUOps
Coca Coca,7:42,8:26,y,https://www.youtube.com/watch?v=d_D6M5YC_14
Dance (A$$),1:24,2:34,y,https://www.youtube.com/watch?v=pn1VGytzXus
Dance (Ass),1:24,2:34,y,https://www.youtube.com/watch?v=pn1VGytzXus
Dance (A$$) (Remix),1:24,2:34,y,https://www.youtube.com/watch?v=pn1VGytzXus
Dance (Ass) (Remix),1:24,2:34,y,https://www.youtube.com/watch?v=pn1VGytzXus
Dance (A$$) Remix,1:24,2:34,y,https://www.youtube.com/watch?v=pn1VGytzXus
Dance (Ass) Remix,1:24,2:34,y,https://www.youtube.com/watch?v=pn1VGytzXus
Dance A$$,1:24,2:34,y,https://www.youtube.com/watch?v=pn1VGytzXus
Dance Ass,1:24,2:34,y,https://www.youtube.com/watch?v=pn1VGytzXus
Dance A$$ (Remix),1:24,2:34,y,https://www.youtube.com/watch?v=pn1VGytzXus
Dance Ass (Remix),1:24,2:34,y,https://www.youtube.com/watch?v=pn1VGytzXus
Dance A$$ Remix,1:24,2:34,y,https://www.youtube.com/watch?v=pn1VGytzXus
Dance Ass Remix,1:24,2:34,y,https://www.youtube.com/watch?v=pn1VGytzXus
Dang a Lang,2:01,2:45,y,https://www.youtube.com/watch?v=fO4gw0teWPk
